,File,Folder
114,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Bank Activities\Credit Cards Terminals_ Statements\Sept.pdf,motel
115,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\CC Statments\Xerox Scan_01092023143824.pdf,motel
116,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\CC Statments\Xerox Scan_12022022122000.pdf,motel
117,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\BEAUXSimone Counsulting.pdf,motel
118,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\Cenco_Roof Repair.pdf,motel
119,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\CHFA Invoice.pdf,motel
120,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\CHFA(1).pdf,motel
121,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\CHFA.pdf,motel
122,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\Cinco Roofing.pdf,motel
123,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\Daniel Kim.pdf,motel
124,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\Denise Marfil(1).pdf,motel
125,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\Denise Marfil.pdf,motel
126,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\document-1e66866ad5337955eb25a6c339a764b65a4e2876.pdf,motel
127,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\FirstBank CC payment.pdf,motel
128,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\GD Elect.pdf,motel
129,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\GD Electric_Motel Glass.pdf,motel
130,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\HD_CC.pdf,motel
131,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\Istbank CC Payoff payment statment.pdf,motel
132,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\LCFC.pdf,motel
133,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\Motel Window repair_Jesse Rinker .xlsx,motel
134,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\Otten Johnson(1).pdf,motel
135,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\Otten Johnson.PDF,motel
136,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\The Fax(1).pdf,motel
137,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\The Fax.pdf,motel
138,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\Window Purchase _Lowe_s.png,motel
139,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\Window Replacment_Jessie Rinker.pdf,motel
140,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Dec\Xerox Scan_01052023102508.pdf,motel
141,C:\Users\ramosv\Desktop\MileHighHack\organize_chaos\Documents\2022 Motels Invoices\Nov\CHFA Dec Invoice.pdf,motel
